Sex_mother ,time_interval,F1_Males,F1_Females,F1_Hermaphrodites,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,1,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,152h-160h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Hermphrodite,160h-168h,0,0,0,
Female,0h-8h,0,4,14,
Female,0h-8h,0,0,19,
Female,0h-8h,0,0,12,
Female,0h-8h,0,0,16,
Female,0h-8h,0,1,17,
Female,0h-8h,0,0,14,
Female,0h-8h,0,0,13,
Female,0h-8h,1,2,11,
Female,0h-8h,0,0,12,
Female,0h-8h,0,1,19,
